id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
610009,32,2024-01-02 08:30:03,OPMC_AHU_L6,3017140.0,225,226,228,50.0,1.0,2024-01-02 08:30:04.000,2024-01-02 08:30:04.000,2024-01-02 08:30:04.000,28419.0,28672.0,3048968,-91.0,107
610044,32,2024-01-02 08:40:03,OPMC_AHU_L6,3017140.0,223,223,224,50.0,1.0,2024-01-02 08:40:14.000,2024-01-02 08:40:14.000,2024-01-02 08:40:14.000,28419.0,28672.0,3048968,-91.0,107
610099,32,2024-01-02 09:00:03,OPMC_AHU_L6,3017140.0,224,225,227,50.03,1.0,2024-01-02 09:00:24.000,2024-01-02 09:00:24.000,2024-01-02 09:00:24.000,28419.0,28672.0,3048968,-90.0,107
610108,32,2024-01-02 09:10:03,OPMC_AHU_L6,3017140.0,223,224,226,49.95,1.0,2024-01-02 09:10:05.000,2024-01-02 09:10:05.000,2024-01-02 09:10:05.000,28419.0,28672.0,3048968,-90.0,107
610153,32,2024-01-02 09:20:03,OPMC_AHU_L6,3017140.0,224,225,227,49.97,1.0,2024-01-02 09:20:27.000,2024-01-02 09:20:27.000,2024-01-02 09:20:27.000,28419.0,28672.0,3048968,-90.0,107
610179,32,2024-01-02 09:30:03,OPMC_AHU_L6,3017140.0,224,225,227,49.98,1.0,2024-01-02 09:30:27.000,2024-01-02 09:30:27.000,2024-01-02 09:30:27.000,28419.0,28672.0,3048968,-93.0,107
610196,32,2024-01-02 09:40:03,OPMC_AHU_L6,3017140.0,223,224,226,50.01,1.0,2024-01-02 09:40:15.000,2024-01-02 09:40:15.000,2024-01-02 09:40:15.000,28419.0,28672.0,3048968,-90.0,107
610224,32,2024-01-02 09:50:03,OPMC_AHU_L6,3017140.0,223,224,225,49.97,1.0,2024-01-02 09:50:16.000,2024-01-02 09:50:16.000,2024-01-02 09:50:16.000,28419.0,28672.0,3048968,-90.0,107
610250,32,2024-01-02 10:00:03,OPMC_AHU_L6,3017140.0,222,223,224,49.99,1.0,2024-01-02 10:00:20.000,2024-01-02 10:00:20.000,2024-01-02 10:00:20.000,28419.0,28672.0,3048968,-91.0,107
610299,32,2024-01-02 10:20:03,OPMC_AHU_L6,3017140.0,225,225,227,50.0,1.0,2024-01-02 10:20:17.000,2024-01-02 10:20:17.000,2024-01-02 10:20:17.000,28419.0,28672.0,3048968,-91.0,107
